PropertyID,Area,Plate,Module,HousingName,Issue,Fromusername,PropertyType,Zipcode,Location,UpdateTime
32,普陀,武宁,内环以内,平江智荟苑,,平江新城,住宅,200065,,2015-12-11 00:00:00.000
33,普陀,光新,内中环间,秋月枫舍,一期|二期,|,综合社区,200061,,2015-12-11 00:00:00.000
34,浦东,陆家嘴,内环以内,福竹小区,,,住宅,200122,,2015-12-11 00:00:00.000
35,浦东,陆家嘴,内环以内,明竹公寓,,,住宅,200122,,2015-12-11 00:00:00.000
36,浦东,陆家嘴,内环以内,涵乐园,,,住宅,200120,,2015-12-11 00:00:00.000
37,浦东,陆家嘴,内环以内,仁恒公寓,,,住宅,200120,,2015-12-11 00:00:00.000
38,杨浦,鞍山,内环以内,抚顺路373弄,,,住宅,200092,,2015-12-11 00:00:00.000
39,闵行,七宝,外环以外,茂盛城市花园,,,住宅,201101,,2015-12-11 00:00:00.000
40,普陀,真如,内中环间,府村苑,,,住宅,200333,,2015-12-11 00:00:00.000
41,普陀,真如,内中环间,品月公寓,,,商住楼,200333,,2015-12-11 00:00:00.000
42,浦东,东城,内环以内,锦绣苑,,,住宅,201204,,2015-12-11 00:00:00.000
43,浦东,东城,内环以内,龙昌苑,,,住宅,201204,,2015-12-11 00:00:00.000
44,浦东,东城,内环以内,锦绣华庭,,,住宅,200127,,2015-12-11 00:00:00.000
45,杨浦,黄兴,内中环间,桥升公寓,,,住宅,200093,,2015-12-11 00:00:00.000
46,普陀,桃浦,中外环间,永汇新苑,,滨河景城,综合社区,200331,,2015-12-11 00:00:00.000
47,浦东,金杨,内中环间,栖山小区,,,住宅,200135,,2015-12-11 00:00:00.000
48,长宁,中山公园,内环以内,华东化工大楼,,,住宅,200050,,2015-12-11 00:00:00.000
49,虹口,四川北路,内环以内,虹连大楼,,,住宅,200092,,2015-12-11 00:00:00.000
50,虹口,四川北路,内环以内,庐迅大厦,,,住宅,200081,,2015-12-11 00:00:00.000
51,杨浦,鞍山,内环以内,双辽小区,,,住宅,200092,,2015-12-11 00:00:00.000
52,静安,南京西路,内环以内,常德公寓,,,住宅,200040,,2015-12-11 00:00:00.000
53,松江,松江新城,外环以外,怡林花园,一期|二期,|莱顿小城,住宅,201620,,2015-12-11 00:00:00.000
54,普陀,桃浦,中外环间,古浪新苑,一期|二期|三期|四期,安居古浪新苑|安居古浪新苑|祁连新家园|安居古浪新苑,住宅,200331,,2015-12-11 00:00:00.000
55,普陀,长寿,内环以内,日月星辰,,,商住楼,200060,,2015-12-11 00:00:00.000
56,浦东,三林,中外环间,艾东小区,,,住宅,200128,,2015-12-11 00:00:00.000
57,浦东,浦东世博,内中环间,云台苑,,,住宅,200126,,2015-12-11 00:00:00.000
58,浦东,碧云,内中环间,碧云东壹栋,,,写字楼,201206,,2015-12-11 00:00:00.000
59,徐汇,龙华,内中环间,龙安小区,,,住宅,200032,,2015-12-11 00:00:00.000
60,浦东,北蔡,中外环间,民康苑,,,住宅,201204,,2016-12-28 16:47:00.000
61,闵行,七宝,外环以外,大都会和风高尔夫别墅,,,别墅,201101,,2015-12-11 00:00:00.000
62,徐汇,长桥,内中环间,汇京佳丽园,,,住宅,200237,,2015-12-11 00:00:00.000
63,浦东,金桥,中外环间,连城苑,,连城苑,住宅,200129,,2016-12-29 08:52:00.000
64,松江,松江新城,外环以外,爱丁堡花园,,,综合社区,201620,,2015-12-11 00:00:00.000
65,闵行,江川路,外环以外,凤庆小区,,,住宅,200240,,2015-12-11 00:00:00.000
66,浦东,金桥,中外环间,证大家园,,,住宅,200129,,2015-12-11 00:00:00.000
67,宝山,上大,外环以外,同济城市阳光,,,住宅,200436,,2015-12-11 00:00:00.000
68,金山,金山新城,外环以外,易家商业中心,,,商铺,201512,,2015-12-11 00:00:00.000
69,浦东,三林,中外环间,源城景翠苑,,,住宅,200124,,2015-12-11 00:00:00.000
70,浦东,川沙,外环以外,天歌华庭,,金领国际,住宅,201201,,2015-12-11 00:00:00.000
71,浦东,唐镇,外环以外,毕加索小镇,,张江名流豪庭,综合社区,201210,,2015-12-11 00:00:00.000
72,普陀,真如,内中环间,长风四村,,,住宅,200062,,2015-12-11 00:00:00.000
73,徐汇,徐汇中心,内环以内,虹桥乐庭,一期|二期|三期,||铂晶馆,住宅,200030,,2015-12-11 00:00:00.000
74,松江,泗泾,外环以外,宽景99,,,综合社区,201601,,2015-12-11 00:00:00.000
75,浦东,川沙,外环以外,浦发东绣苑,,,住宅,201299,,2015-12-11 00:00:00.000
76,黄浦,老西门,内环以内,明日星城,一期|二期,|世纪星,住宅,200011,,2015-12-11 00:00:00.000
78,浦东,川沙,外环以外,舒馨北苑,,,住宅,201299,,2015-12-11 00:00:00.000
79,静安,南京西路,内环以内,修德新村,,,住宅,200041,,2015-12-11 00:00:00.000
80,静安,大宁,内中环间,宁和小区,,,住宅,200072,,2015-12-11 00:00:00.000
81,浦东,周康,外环以外,印象春城,,,住宅,201318,,2015-12-11 00:00:00.000
82,浦东,浦东世博,内中环间,东方城市花园,,,住宅,200127,,2015-12-11 00:00:00.000
83,闵行,七宝,外环以外,枫荷兰庭,,,住宅,201101,,2015-12-11 00:00:00.000
84,闵行,七宝,外环以外,西郊英园,,尚城河滨,住宅,201101,,2015-12-11 00:00:00.000
85,浦东,花木,内环以内,建华钻石公寓,,,住宅,201204,,2015-12-11 00:00:00.000
86,浦东,洋泾,内环以内,雅景公寓,,,住宅,200135,,2015-12-11 00:00:00.000
87,浦东,浦东世博,内中环间,昌里花园,,现代映象,住宅,200126,,2015-12-11 00:00:00.000
88,徐汇,徐汇中心,内环以内,信联公寓,,,住宅,200031,,2015-12-11 00:00:00.000
89,金山,石化,外环以外,宝华海湾城,,,住宅,201508,,2015-12-11 00:00:00.000
90,浦东,三林,中外环间,东旺名苑,,,住宅,200123,,2015-12-11 00:00:00.000
91,浦东,花木,内中环间,星河湾荟苑,,,综合社区,200128,,2016-12-28 16:58:00.000
92,松江,松江新城,外环以外,荣御景苑,,御上海,住宅,201620,,2015-12-11 00:00:00.000
93,静安,南京西路,内环以内,华敏帝豪大厦,,,商住楼,200041,,2015-12-11 00:00:00.000
94,静安,不夜城,内环以内,绿洲雅宾利花园,一期|二期,|绿景晓园,综合社区,200071,,2015-12-11 00:00:00.000
95,虹口,四川北路,内环以内,中信和平家园,一期|二期|三期,||,住宅,200086,,2015-12-11 00:00:00.000
96,嘉定,江桥,外环以外,天际蓝桥,,,住宅,201803,,2015-12-11 00:00:00.000
97,长宁,新华路,内环以内,紫勋风雅苑,,紫勋Wind,住宅,200051,,2015-12-11 00:00:00.000
98,浦东,金桥,中外环间,东陆九街坊,,,住宅,200129,,2015-12-11 00:00:00.000
99,浦东,金桥,中外环间,东陆四街坊,,,住宅,200129,,2015-12-11 00:00:00.000
100,浦东,金桥,中外环间,东陆三街坊,,,住宅,200129,,2015-12-11 00:00:00.000
101,徐汇,南站,内中环间,虹梅南路126弄,,,住宅,200237,,2015-12-11 00:00:00.000
102,徐汇,南站,内中环间,虹梅南路96弄,,,住宅,200237,,2015-12-11 00:00:00.000
103,浦东,浦东世博,内中环间,齐一小区,,,住宅,200125,,2015-12-11 00:00:00.000
104,普陀,光新,内中环间,延长西路220弄,,,住宅,200065,,2015-12-11 00:00:00.000
105,静安,彭浦,中外环间,阳曲路400弄,,,住宅,200435,,2015-12-11 00:00:00.000
106,徐汇,龙华,内中环间,宛南五村,,,住宅,200030,,2015-12-11 00:00:00.000
107,黄浦,黄浦滨江,内环以内,滨江名人苑,,,住宅,200010,,2015-12-11 00:00:00.000
108,黄浦,黄浦滨江,内环以内,绿城黄浦湾,,,住宅,200010,,2015-12-11 00:00:00.000
109,黄浦,黄浦滨江,内环以内,华润外滩九里,,,住宅,200010,,2015-12-11 00:00:00.000
110,黄浦,黄浦滨江,内环以内,浦江公馆,,,住宅,200010,,2015-12-11 00:00:00.000
111,闵行,颛桥,外环以外,银桥花园,,都市雅筑,住宅,201109,,2015-12-11 00:00:00.000
112,闵行,七宝,外环以外,东方花园,,公园养生豪庭,住宅,201101,,2015-12-11 00:00:00.000
115,虹口,凉城,中外环间,锦苑小区,,,住宅,200434,,2015-12-11 00:00:00.000
116,闵行,莘庄,外环以外,富林苑,,富林四季,住宅,201199,,2015-12-11 00:00:00.000
117,浦东,金桥,中外环间,金桥一景,,丽苑,住宅,200129,,2015-12-11 00:00:00.000
118,闵行,七宝,外环以外,碧林湾,一期|二期|三期,||摩登堂,住宅,201101,,2015-12-11 00:00:00.000
119,闵行,浦江,外环以外,闵浦新苑六村,,,住宅,201112,,2015-12-11 00:00:00.000
120,徐汇,龙华,内中环间,宛南六村,,,住宅,200030,,2015-12-11 00:00:00.000
121,徐汇,龙华,内中环间,宛南一村,,,住宅,200030,,2015-12-11 00:00:00.000
122,徐汇,龙华,内中环间,宛南三村,,,住宅,200030,,2015-12-11 00:00:00.000
123,徐汇,龙华,内中环间,宛南二村,,,住宅,200030,,2015-12-11 00:00:00.000
124,徐汇,龙华,内中环间,宛南四村,,,住宅,200030,,2015-12-11 00:00:00.000
125,杨浦,五角场,中外环间,五角场东方商厦,,,写字楼,200433,,2015-12-11 00:00:00.000
126,杨浦,五角场,中外环间,黄兴路2111号,,,待定,200433,,2015-12-11 00:00:00.000
127,黄浦,人民广场,内环以内,新桥大厦,,,写字楼,200003,,2015-12-11 00:00:00.000
128,闵行,莘庄,外环以外,馨庄明珠,,,住宅,201199,,2015-12-11 00:00:00.000
129,闵行,七宝,外环以外,水榭花堤,,,住宅,201101,,2015-12-11 00:00:00.000
130,普陀,长寿,内环以内,星光名门,,,待定,200060,,2015-12-11 00:00:00.000
131,闵行,七宝,外环以外,阳光加州,,,综合社区,201101,,2015-12-11 00:00:00.000
132,黄浦,打浦桥,内环以内,五里桥路180号,,,住宅,200023,,2015-12-11 00:00:00.000
133,黄浦,打浦桥,内环以内,五里桥路252号,,,住宅,200023,,2015-12-11 00:00:00.000
134,黄浦,打浦桥,内环以内,五里桥路28弄,,,待定,200023,,2015-12-11 00:00:00.000
135,黄浦,打浦桥,内环以内,五里桥路256号,,,住宅,200023,,2015-12-11 00:00:00.000
136,黄浦,打浦桥,内环以内,五里桥路254号,,,住宅,200023,,2015-12-11 00:00:00.000
137,黄浦,老西门,内环以内,黄浦新苑,,东区,住宅,200011,,2015-12-11 00:00:00.000
138,宝山,大华,内中环间,大华御品水岸,,,住宅,200442,,2015-12-11 00:00:00.000
139,金山,金山中部,外环以外,现代华亭花园,,,住宅,201505,,2015-12-11 00:00:00.000
140,浦东,陆家嘴,内环以内,海怡花园,,,综合社区,200120,,2015-12-11 00:00:00.000
141,松江,佘山,外环以外,佘山湾尚都会,,,待定,201601,,2015-12-11 00:00:00.000
142,青浦,朱家角,外环以外,泰安公寓,,,住宅,201713,,2015-12-11 00:00:00.000
143,普陀,光新,内中环间,岚益公寓,,,住宅,200063,,2015-12-11 00:00:00.000
144,普陀,真如,内中环间,银巷公寓,,,住宅,200333,,2015-12-11 00:00:00.000
145,普陀,长寿,内环以内,宝华名邸,,宝华城市晶典,写字楼,200060,,2015-12-11 00:00:00.000
146,闵行,颛桥,外环以外,银河新都,,,住宅,201108,,2015-12-11 00:00:00.000
147,黄浦,人民广场,内环以内,汉口路699号,,,待定,200001,,2015-12-11 00:00:00.000
148,虹口,北外滩,内环以内,业广大楼,,,住宅,200080,,2015-12-11 00:00:00.000
149,静安,不夜城,内环以内,塘沽路747弄,,,待定,200085,,2015-12-11 00:00:00.000
150,杨浦,中原,中外环间,中原一村,,,住宅,200438,,2015-12-11 00:00:00.000
151,杨浦,新江湾城,中外环间,新江湾佳苑,一期|二期|三期,||美地湾城,住宅,200433,,2015-12-11 00:00:00.000
152,徐汇,长桥,内中环间,协合紫薇园,,,住宅,200237,,2015-12-11 00:00:00.000
153,青浦,重固,外环以外,夏阳金城,,金城上品,住宅,201706,,2015-12-11 00:00:00.000
154,普陀,万里,内中环间,万里晶品苑,,,住宅,200333,,2015-12-11 00:00:00.000
155,浦东,塘桥,内环以内,浦江映象苑,,,住宅,200127,,2015-12-11 00:00:00.000
156,浦东,周康,外环以外,圣鑫苑,,,住宅,201315,,2015-12-11 00:00:00.000
157,浦东,川沙,外环以外,和憬家园,,,住宅,201299,,2015-12-11 00:00:00.000
158,浦东,陆家嘴,内环以内,香榭丽花园,,,住宅,200122,,2015-12-11 00:00:00.000
159,浦东,陆家嘴,内环以内,海怡别墅,,,别墅,200120,,2015-12-11 00:00:00.000
160,浦东,金杨,内中环间,德兴苑,,,待定,200136,,2015-12-11 00:00:00.000
161,闵行,颛桥,外环以外,申莘三村,,亲水湾,住宅,201108,,2015-12-11 00:00:00.000
162,闵行,金虹桥,中外环间,明泉江南苑,一期|二期,|明泉璞院,别墅,201103,,2015-12-11 00:00:00.000
163,闵行,颛桥,外环以外,君莲新城,,君莲小区,住宅,201108,,2015-12-11 00:00:00.000
164,浦东,临港新城,外环以外,清风名苑,,,住宅,201306,,2015-12-11 00:00:00.000
165,闵行,金虹桥,中外环间,大上海国际花园,一期|二期|三期,悉尼园|罗马园|上海风景,住宅,201101,,2015-12-11 00:00:00.000
166,奉贤,柘林,外环以外,海畔家园,,,住宅,201424,,2015-12-11 00:00:00.000
167,嘉定,嘉定主城区,外环以外,保利海上五月花,一期|二期,|,综合社区,201808,,2015-12-11 00:00:00.000
168,虹口,曲阳,内中环间,龙泰公寓,,华谊星河,住宅,200083,,2015-12-11 00:00:00.000
169,奉贤,南桥新城,外环以外,绿地望海新都,,绿地领御,综合社区,201499,,2015-12-11 00:00:00.000
170,长宁,新华路,内环以内,中山广场,,,写字楼,200051,,2015-12-11 00:00:00.000
171,金山,朱泾,外环以外,万祥金邸,,,住宅,,,2015-12-11 00:00:00.000
172,浦东,惠南,外环以外,成功家园,,,综合社区,201399,,2015-12-11 00:00:00.000
173,闵行,古美罗阳,中外环间,东兰路105号,,,待定,201102,,2015-12-11 00:00:00.000
174,闵行,古美罗阳,中外环间,东兰路111弄,,,住宅,201102,,2015-12-11 00:00:00.000
175,闵行,古美罗阳,中外环间,东兰路99号,,,住宅,201102,,2015-12-11 00:00:00.000
176,闵行,古美罗阳,中外环间,虹梅路427弄,,,住宅,201102,,2015-12-11 00:00:00.000
177,闵行,古美罗阳,中外环间,虹梅路429弄,,,住宅,201102,,2015-12-11 00:00:00.000
178,徐汇,徐汇中心,内环以内,淮海中路1412弄,,,住宅,200031,,2015-12-11 00:00:00.000
179,黄浦,人民广场,内环以内,振华大楼,,,住宅,200003,,2015-12-11 00:00:00.000
180,宝山,淞宝,外环以外,真武路182弄,,,住宅,201609,,2015-12-11 00:00:00.000
181,静安,不夜城,内环以内,中华新路495号,,,住宅,200070,,2015-12-11 00:00:00.000
182,静安,不夜城,内环以内,永兴路300号,,,住宅,200071,,2015-12-11 00:00:00.000
183,静安,大宁,内中环间,万荣新苑,,,住宅,200072,,2015-12-11 00:00:00.000
184,静安,不夜城,内环以内,新疆路445号,,,住宅,200070,,2015-12-11 00:00:00.000
185,静安,不夜城,内环以内,西藏北路963号,,,住宅,200070,,2015-12-11 00:00:00.000
186,静安,不夜城,内环以内,西藏北路573弄,,,住宅,200070,,2015-12-11 00:00:00.000
187,静安,大宁,内中环间,天目中路260号,,,住宅,200070,,2015-12-11 00:00:00.000
188,静安,大宁,内中环间,平型关路235弄,,,住宅,200072,,2015-12-11 00:00:00.000
189,静安,大宁,内中环间,平型关路230弄,,,住宅,200072,,2015-12-11 00:00:00.000
190,静安,大宁,内中环间,洛川东路970号,,,待定,200072,,2015-12-11 00:00:00.000
191,静安,大宁,内中环间,洛川东路310号,,,住宅,200072,,2015-12-11 00:00:00.000
192,静安,不夜城,内环以内,陆丰路146号,,,住宅,200071,,2015-12-11 00:00:00.000
193,静安,不夜城,内环以内,临山路40号,,,待定,200071,,2015-12-11 00:00:00.000
194,静安,不夜城,内环以内,会文路159号,,,待定,200071,,2015-12-11 00:00:00.000
195,静安,不夜城,内环以内,富联商业广场,,,商铺,200085,,2015-12-11 00:00:00.000
196,静安,彭浦,中外环间,共和新路3318号,,,商铺,200436,,2015-12-11 00:00:00.000
197,静安,彭浦,中外环间,汾西路641号,,,住宅,200435,,2015-12-11 00:00:00.000
198,静安,不夜城,内环以内,苏家巷329号,,,待定,200070,,2015-12-11 00:00:00.000
199,静安,大宁,内中环间,大宁路538弄,,,住宅,200072,,2015-12-11 00:00:00.000
200,静安,不夜城,内环以内,宝山路503号,,,住宅,200071,,2015-12-11 00:00:00.000
201,静安,不夜城,内环以内,宝昌路200号,,,住宅,200071,,2015-12-11 00:00:00.000
202,杨浦,黄兴,内中环间,周家嘴路3788号,,,住宅,200093,,2015-12-11 00:00:00.000
203,杨浦,东外滩,内中环间,周家牌路223号,,,待定,200090,,2015-12-11 00:00:00.000
204,杨浦,五角场,内中环间,政肃路151弄,,,住宅,200433,,2016-12-29 16:41:00.000
205,杨浦,五角场,中外环间,政民路299号,,,住宅,200433,,2015-12-11 00:00:00.000
206,杨浦,五角场,中外环间,政立路1535号,,,商铺,200434,,2015-12-11 00:00:00.000
207,杨浦,五角场,中外环间,椰泰公寓,,,住宅,200433,,2015-12-11 00:00:00.000
208,杨浦,鞍山,内环以内,榆林路630号,,,住宅,200082,,2015-12-11 00:00:00.000
209,杨浦,东外滩,内中环间,杨树浦路1591弄,,,待定,200090,,2015-12-11 00:00:00.000
210,杨浦,鞍山,内环以内,许昌路1432号,,,住宅,200092,,2015-12-11 00:00:00.000
211,杨浦,中原,中外环间,市京路838弄,,,综合社区,200438,,2015-12-11 00:00:00.000
212,杨浦,黄兴,内中环间,沈家桥7号,,,住宅,202155,,2015-12-11 00:00:00.000
213,杨浦,中原,中外环间,虬江码头35号,,,待定,200433,,2015-12-11 00:00:00.000
214,杨浦,东外滩,内中环间,平凉路2730号,,,待定,200090,,2015-12-11 00:00:00.000
215,杨浦,鞍山,内环以内,眉州路660号,,,待定,200090,,2015-12-11 00:00:00.000
216,杨浦,黄兴,内中环间,控江路655号,,,待定,200093,,2015-12-11 00:00:00.000
218,杨浦,鞍山,内环以内,物华里,,,待定,200082,,2015-12-11 00:00:00.000
219,杨浦,五角场,中外环间,黄兴路2012弄,,,住宅,200433,,2015-12-11 00:00:00.000
220,杨浦,黄兴,内中环间,河间路323弄,,,待定,200090,,2015-12-11 00:00:00.000
221,杨浦,东外滩,内中环间,杭州路607号,,,待定,200090,,2015-12-11 00:00:00.000
222,杨浦,鞍山,内环以内,风城一村,,,住宅,200092,,2015-12-11 00:00:00.000
223,杨浦,五角场,中外环间,大学路125号,,,写字楼,200433,,2015-12-11 00:00:00.000
224,杨浦,鞍山,内环以内,本溪路248号,,,商铺,200092,,2015-12-11 00:00:00.000
225,徐汇,徐汇中心,内环以内,平华大厦,,,商住楼,200032,,2015-12-11 00:00:00.000
226,徐汇,徐汇中心,内环以内,永福六区,,,住宅,200031,,2015-12-11 00:00:00.000
227,徐汇,徐汇中心,内环以内,斜土路2580号,,,住宅,200030,,2015-12-11 00:00:00.000
228,徐汇,徐汇中心,内环以内,斜土路2428号,,,商铺,200030,,2015-12-11 00:00:00.000
229,徐汇,徐汇中心,内环以内,武康路73弄,,,住宅,200031,,2015-12-11 00:00:00.000
230,徐汇,徐汇中心,内环以内,吴兴路30弄,,,住宅,200030,,2015-12-11 00:00:00.000
231,徐汇,徐汇中心,内环以内,宛平南路51号,,,住宅,200032,,2015-12-11 00:00:00.000
232,徐汇,徐汇中心,内环以内,天钥桥路408号,,,住宅,200030,,2015-12-11 00:00:00.000
233,徐汇,龙华,内中环间,上师大科技园,,,住宅,200234,,2015-12-11 00:00:00.000
234,徐汇,龙华,内中环间,龙水南路292号,,,住宅,200232,,2015-12-11 00:00:00.000
235,徐汇,龙华,内中环间,周家湾,,,住宅,200232,,2015-12-11 00:00:00.000
236,徐汇,南站,内中环间,海波金桂苑,,,住宅,200237,,2015-12-11 00:00:00.000
237,徐汇,徐汇中心,内环以内,康平路158号,,,待定,200030,,2015-12-11 00:00:00.000
238,徐汇,田林,内中环间,康健路5号,,,住宅,200235,,2015-12-11 00:00:00.000
239,徐汇,田林,内中环间,江安路225号,,,商铺,200233,,2015-12-11 00:00:00.000
240,徐汇,华泾,外环以外,建华路149-161号,,,商铺,200231,,2015-12-11 00:00:00.000
241,徐汇,徐汇中心,内环以内,建国西路619弄,,,综合社区,200031,,2015-12-11 00:00:00.000
242,徐汇,徐汇滨江,内中环间,龙龙家园,,,住宅,200232,,2015-12-11 00:00:00.000
243,徐汇,徐汇中心,内环以内,湖南路298弄,,,住宅,200031,,2015-12-11 00:00:00.000
244,徐汇,田林,内中环间,牡丹园,,,别墅,200233,,2015-12-11 00:00:00.000
245,徐汇,田林,内中环间,冠生园路210号,,,住宅,200235,,2015-12-11 00:00:00.000
246,徐汇,田林,内中环间,古美路1135弄,,,住宅,201102,,2015-12-11 00:00:00.000
247,徐汇,徐汇中心,内环以内,会乐精舍,,,住宅,200031,,2015-12-11 00:00:00.000
248,徐汇,徐汇中心,内环以内,复兴西路32号,,,住宅,200031,,2015-12-11 00:00:00.000
249,徐汇,田林,内中环间,银海大楼,,,写字楼,200235,,2015-12-11 00:00:00.000
250,松江,松江新城,外环以外,中山二路582号,,,住宅,201699,,2015-12-11 00:00:00.000
251,松江,松江新城,外环以外,松江镇横街6号,,,待定,201613,,2015-12-11 00:00:00.000
252,松江,松江新城,外环以外,谷阳南路17号,,,待定,201699,,2015-12-11 00:00:00.000
253,松江,松江新城,外环以外,谷阳北路167号,,,待定,201699,,2015-12-11 00:00:00.000
254,松江,松江新城,外环以外,菜花泾88号,,,住宅,201699,,2015-12-11 00:00:00.000
255,松江,松江新城,外环以外,菜花泾154弄,,,住宅,201699,,2015-12-11 00:00:00.000
256,松江,松江新城,外环以外,中山二路592号,,,住宅,201699,,2015-12-11 00:00:00.000
257,松江,松江新城,外环以外,朱家廊,,,住宅,201613,,2015-12-11 00:00:00.000
258,松江,松江新城,外环以外,中山中路55号,,,待定,201699,,2015-12-11 00:00:00.000
259,松江,松江新城,外环以外,中山二路59号,,,住宅,201699,,2015-12-11 00:00:00.000
260,松江,松江新城,外环以外,中山二路596号,,,住宅,201699,,2015-12-11 00:00:00.000
261,松江,松江新城,外环以外,中山二路303号,,,住宅,201699,,2015-12-11 00:00:00.000
262,松江,松江新城,外环以外,中山二路20号,,,待定,201699,,2015-12-11 00:00:00.000
263,松江,松江新城,外环以外,中山东路307号,,,住宅,201699,,2015-12-11 00:00:00.000
264,松江,松江新城,外环以外,中山东路305号,,,住宅,201699,,2015-12-11 00:00:00.000
265,松江,松江新城,外环以外,中辰路225号,,,厂房,201613,,2015-12-11 00:00:00.000
266,松江,松江新城,外环以外,永丰路17号,,,住宅,201616,,2015-12-11 00:00:00.000
267,松江,新桥,外环以外,新南街220号,,,商铺,201612,,2015-12-11 00:00:00.000
268,松江,松江南部,外环以外,泖新公路小商品市场,,,商铺,201606,,2015-12-11 00:00:00.000
269,松江,松江新城,外环以外,欣玉路550号,,,厂房,201699,,2015-12-11 00:00:00.000
270,松江,松江新城,外环以外,斜桥路47弄,,,住宅,201699,,2015-12-11 00:00:00.000
271,松江,松江新城,外环以外,香家弄17支弄,,,待定,201699,,2015-12-11 00:00:00.000
272,松江,松江新城,外环以外,香家弄17号,,,住宅,201699,,2015-12-11 00:00:00.000
273,松江,松江新城,外环以外,西司弄20号,,,待定,201699,,2015-12-11 00:00:00.000
274,松江,松江新城,外环以外,西林南路45号,,,住宅,201699,,2015-12-11 00:00:00.000
275,松江,松江新城,外环以外,西林南路16号,,,住宅,201699,,2015-12-11 00:00:00.000
276,松江,松江新城,外环以外,五昆路35号,,,住宅,201613,,2015-12-11 00:00:00.000
277,松江,松江新城,外环以外,文翔路1006号,,,住宅,201620,,2015-12-11 00:00:00.000
278,松江,松江新城,外环以外,文涵路910号,,,商铺,201620,,2015-12-11 00:00:00.000
279,松江,松江新城,外环以外,文涵路892号,,,商铺,201620,,2015-12-11 00:00:00.000
280,松江,松江新城,外环以外,袜子弄73号,,,住宅,201699,,2015-12-11 00:00:00.000
281,松江,松江新城,外环以外,中山中路59号,,,住宅,201699,,2015-12-11 00:00:00.000
282,松江,松江新城,外环以外,中山二路321号,,,住宅,201699,,2015-12-11 00:00:00.000
283,松江,松江新城,外环以外,中山东路301号,,,住宅,201699,,2015-12-11 00:00:00.000
284,松江,松江新城,外环以外,松汇中路三十九弄,,,住宅,201699,,2015-12-11 00:00:00.000
285,松江,松江新城,外环以外,松汇东路二十三弄,,,待定,201699,,2015-12-11 00:00:00.000
286,松江,松江新城,外环以外,人民南路51弄,,,住宅,201613,,2015-12-11 00:00:00.000
287,松江,松江新城,外环以外,普政苑,,,住宅,201699,,2015-12-11 00:00:00.000
